pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,1,0.6000000009536743,,0.6000000009536743,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,2,0.634000002861023,,0.634000002861023,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,4,0.6159999985694885,,0.6159999985694885,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,6,0.6020000009536743,,0.6020000009536743,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,8,0.6000000009536743,,0.6000000009536743,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,0,0.4560000023841858,,0.4560000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,1,0.4759999978542328,,0.4759999978542328,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,2,0.4520000023841858,,0.4520000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,3,0.4840000019073486,,0.4840000019073486,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,4,0.4519999978542328,,0.4519999978542328,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,0,0.4840000023841858,,0.4840000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,1,0.4719999976158142,,0.4719999976158142,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,2,0.4639999928474426,,0.4639999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,3,0.4819999976158142,,0.4819999976158142,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,4,0.4940000042915344,,0.4940000042915344,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,0,0.44,,0.44,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,1,0.4840000019073486,,0.4840000019073486,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,2,0.4779999928474426,,0.4779999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,4,0.4699999928474426,,0.4699999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,6,0.4760000019073486,,0.4760000019073486,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,0,0.4620000023841858,,0.4620000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,1,0.4820000042915344,,0.4820000042915344,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,2,0.4879999995231628,,0.4879999995231628,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,4,0.4899999928474426,,0.4899999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,6,0.4840000023841858,,0.4840000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,8,0.4879999928474426,,0.4879999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,0,0.4559999928474426,,0.4559999928474426,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,1,0.4339999980926514,,0.4339999980926514,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,2,0.4519999978542328,,0.4519999978542328,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,3,0.4399999976158142,,0.4399999976158142,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,4,0.4779999952316284,,0.4779999952316284,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,0,0.4660000042915344,,0.4660000042915344,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,1,0.4520000026226043,,0.4520000026226043,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,2,0.4139999961853027,,0.4139999961853027,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,4,0.4719999976158142,,0.4719999976158142,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,6,0.4659999980926513,,0.4659999980926513,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,0,0.4659999980926513,,0.4659999980926513,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,1,0.4399999976158142,,0.4399999976158142,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,2,0.4700000026226044,,0.4700000026226044,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,4,0.4440000023841858,,0.4440000023841858,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,6,0.4540000004768371,,0.4540000004768371,1
p02,p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,8,0.4739999928474426,,0.4739999928474426,1
p03,p03_flowers_to_trees,flowers,trees,8,4,0,0.5180000026226044,,0.5180000026226044,1
p03,p03_flowers_to_trees,flowers,trees,8,4,1,0.5100000026226044,,0.5100000026226044,1
p03,p03_flowers_to_trees,flowers,trees,8,4,2,0.5520000042915344,,0.5520000042915344,1
p03,p03_flowers_to_trees,flowers,trees,8,4,3,0.5379999976158142,,0.5379999976158142,1
p03,p03_flowers_to_trees,flowers,trees,8,4,4,0.5359999952316284,,0.5359999952316284,1
p03,p03_flowers_to_trees,flowers,trees,16,4,0,0.5180000019073486,,0.5180000019073486,1
p03,p03_flowers_to_trees,flowers,trees,16,4,1,0.5359999928474426,,0.5359999928474426,1
p03,p03_flowers_to_trees,flowers,trees,16,4,2,0.5179999976158142,,0.5179999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,4,3,0.4959999978542327,,0.4959999978542327,1
p03,p03_flowers_to_trees,flowers,trees,16,4,4,0.5279999976158142,,0.5279999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,6,0,0.5259999976158142,,0.5259999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,6,1,0.5359999976158142,,0.5359999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,6,2,0.5139999976158142,,0.5139999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,6,4,0.5460000042915344,,0.5460000042915344,1
p03,p03_flowers_to_trees,flowers,trees,16,6,6,0.5360000042915344,,0.5360000042915344,1
p03,p03_flowers_to_trees,flowers,trees,16,8,0,0.5079999952316284,,0.5079999952316284,1
p03,p03_flowers_to_trees,flowers,trees,16,8,1,0.5319999952316284,,0.5319999952316284,1
p03,p03_flowers_to_trees,flowers,trees,16,8,2,0.5319999976158142,,0.5319999976158142,1
p03,p03_flowers_to_trees,flowers,trees,16,8,4,0.5360000019073486,,0.5360000019073486,1
p03,p03_flowers_to_trees,flowers,trees,16,8,6,0.5400000042915344,,0.5400000042915344,1
p03,p03_flowers_to_trees,flowers,trees,16,8,8,0.5439999971389771,,0.5439999971389771,1
p03,p03_flowers_to_trees,flowers,trees,32,4,0,0.4939999928474426,,0.4939999928474426,1
p03,p03_flowers_to_trees,flowers,trees,32,4,1,0.5000000023841857,,0.5000000023841857,1
p03,p03_flowers_to_trees,flowers,trees,32,4,2,0.4919999978542327,,0.4919999978542327,1
p03,p03_flowers_to_trees,flowers,trees,32,4,3,0.502,,0.502,1
p03,p03_flowers_to_trees,flowers,trees,32,4,4,0.5020000002384186,,0.5020000002384186,1
p03,p03_flowers_to_trees,flowers,trees,32,6,0,0.4980000004768372,,0.4980000004768372,1
p03,p03_flowers_to_trees,flowers,trees,32,6,1,0.4959999978542327,,0.4959999978542327,1
p03,p03_flowers_to_trees,flowers,trees,32,6,2,0.5460000019073487,,0.5460000019073487,1
p03,p03_flowers_to_trees,flowers,trees,32,6,4,0.5200000042915345,,0.5200000042915345,1
p03,p03_flowers_to_trees,flowers,trees,32,6,6,0.5419999947547912,,0.5419999947547912,1
p03,p03_flowers_to_trees,flowers,trees,32,8,0,0.4999999978542327,,0.4999999978542327,1
p03,p03_flowers_to_trees,flowers,trees,32,8,1,0.502,,0.502,1
p03,p03_flowers_to_trees,flowers,trees,32,8,2,0.5260000019073486,,0.5260000019073486,1
p03,p03_flowers_to_trees,flowers,trees,32,8,4,0.5120000002384186,,0.5120000002384186,1
p03,p03_flowers_to_trees,flowers,trees,32,8,6,0.5180000023841858,,0.5180000023841858,1
p03,p03_flowers_to_trees,flowers,trees,32,8,8,0.5079999978542328,,0.5079999978542328,1
