direction,epoch_budget,E,K,F,mean_runtime_sec,mean_runtime_diff_sec_vs_dynamic,mean_runtime_ratio_vs_dynamic,num_runs
vehicles2->vehicles1,50,32,6,2,64.962,3.6850000000000023,1.0601367560422346,1
vehicles2->vehicles1,50,32,6,4,61.562,0.2849999999999966,1.0046510109829137,1
vehicles2->vehicles1,50,32,6,6,60.4,-0.8770000000000024,0.9856879416420516,1
vehicles2->vehicles1,50,32,8,1,63.606,-0.22699999999999676,0.9964438456597685,1
vehicles2->vehicles1,50,32,8,2,62.53,-1.3029999999999973,0.979587360769508,1
vehicles2->vehicles1,50,32,8,4,63.166,-0.6670000000000016,0.9895508592734166,1
vehicles2->vehicles1,50,32,8,6,63.562,-0.2710000000000008,0.9957545470211333,1
vehicles2->vehicles1,50,32,8,8,60.784,-3.0489999999999995,0.9522347375182116,1
vehicles2->vehicles1,60,8,4,1,50.81,-0.8960000000000008,0.98267125672069,1
vehicles2->vehicles1,60,8,4,2,51.735,0.028999999999996362,1.0005608633427454,1
vehicles2->vehicles1,60,8,4,3,50.891,-0.8150000000000048,0.984237806057324,1
vehicles2->vehicles1,60,8,4,4,50.194,-1.5120000000000005,0.9707577457161645,1
vehicles2->vehicles1,60,16,4,1,60.118,1.527000000000001,1.0260620231776212,1
vehicles2->vehicles1,60,16,4,2,60.174,1.5829999999999984,1.027017801368811,1
vehicles2->vehicles1,60,16,4,3,58.826,0.23499999999999943,1.004010854909457,1
vehicles2->vehicles1,60,16,4,4,58.502,-0.08899999999999864,0.9984809953747162,1
vehicles2->vehicles1,60,16,6,1,61.31,2.530999999999999,1.0430595961142586,1
vehicles2->vehicles1,60,16,6,2,60.378,1.5989999999999966,1.0272035931199919,1
vehicles2->vehicles1,60,16,6,4,59.034,0.25499999999999545,1.0043382840810493,1
vehicles2->vehicles1,60,16,6,6,58.538,-0.24100000000000676,0.9958998962214395,1
vehicles2->vehicles1,60,16,8,1,61.758,1.4950000000000045,1.0248079252609397,1
vehicles2->vehicles1,60,16,8,2,61.018,0.7550000000000026,1.012528417105023,1
vehicles2->vehicles1,60,16,8,4,58.85,-1.4129999999999967,0.9765527769941755,1
vehicles2->vehicles1,60,16,8,6,60.434,0.17099999999999937,1.0028375620198131,1
vehicles2->vehicles1,60,16,8,8,58.974,-1.2890000000000015,0.9786104243067886,1
vehicles2->vehicles1,60,32,4,1,73.758,-1.2700000000000102,0.9830729860851948,1
vehicles2->vehicles1,60,32,4,2,74.59,-0.4380000000000024,0.9941621794530042,1
vehicles2->vehicles1,60,32,4,3,74.71,-0.31800000000001205,0.9957615823425919,1
vehicles2->vehicles1,60,32,4,4,72.391,-2.6370000000000005,0.9648531215013062,1
vehicles2->vehicles1,60,32,6,1,74.554,-0.5010000000000048,0.9933248950769435,1
vehicles2->vehicles1,60,32,6,2,74.942,-0.11300000000001376,0.9984944374125639,1
vehicles2->vehicles1,60,32,6,4,75.573,0.5179999999999865,1.0069016054893076,1
vehicles2->vehicles1,60,32,6,6,73.327,-1.7280000000000086,0.9769768836186795,1
vehicles2->vehicles1,60,32,8,1,75.199,0.8919999999999959,1.0120042526276125,1
vehicles2->vehicles1,60,32,8,2,74.604,0.29699999999999704,1.0039969316484314,1
vehicles2->vehicles1,60,32,8,4,73.933,-0.3739999999999952,0.9949668268130863,1
vehicles2->vehicles1,60,32,8,6,75.829,1.5219999999999914,1.0204825924879215,1
vehicles2->vehicles1,60,32,8,8,73.554,-0.7530000000000001,0.9898663652145827,1
vehicles2->vehicles1,80,8,4,4,68.302,-0.2809999999999917,0.995902774740096,1
vehicles2->vehicles1,80,16,4,1,82.266,4.0660000000000025,1.0519948849104859,1
vehicles2->vehicles1,80,16,4,2,81.722,3.5219999999999914,1.0450383631713553,1
vehicles2->vehicles1,80,16,4,3,79.363,1.1629999999999967,1.0148721227621482,1
vehicles2->vehicles1,80,16,4,4,80.455,2.2549999999999955,1.02883631713555,1
vehicles2->vehicles1,80,16,6,6,78.946,-2.0259999999999962,0.9749790050881787,1
vehicles2->vehicles1,80,16,8,8,80.1,-0.9720000000000084,0.9880106571936056,1
vehicles2->vehicles1,80,32,4,4,101.16,1.456000000000003,1.014603225547621,1
vehicles2->vehicles1,80,32,6,6,102.074,-2.546999999999997,0.9756549832251652,1
vehicles2->vehicles1,80,32,8,8,101.699,-1.7729999999999961,0.9828649296428019,1
vehicles2->vehicles1,100,8,4,1,87.257,2.1700000000000017,1.0255033083784832,1
vehicles2->vehicles1,100,8,4,2,87.252,2.164999999999992,1.0254445449951226,1
vehicles2->vehicles1,100,8,4,3,86.24,1.1529999999999916,1.013550836202945,1
vehicles2->vehicles1,100,8,4,4,85.024,-0.06300000000000239,0.9992595813696569,1
