epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
60,1,hyb_vehicles1_to_vehicles2_E16_K6_F4_ep60_s1,hybrid_transfer,16,6,4,60,0.812,0.822,0.822,0.8211,0.6313,1.839,"10,4,7,6"
60,1,fix_vehicles1_to_vehicles2_E16_K6_F6_ep60_s1,hybrid_transfer,16,6,6,49,0.816,0.818,0.824,0.8217,0.6383,2.4959,"10,4,7,6,3,15"
60,1,dyn_vehicles1_to_vehicles2_E16_K8_ep60_s1,target_dynamic,16,8,0,57,0.82,0.844,0.826,0.8225,0.6797,2.0344,
60,1,hyb_vehicles1_to_vehicles2_E16_K8_F1_ep60_s1,hybrid_transfer,16,8,1,56,0.832,0.824,0.82,0.8142,0.66,2.0441,6
60,1,hyb_vehicles1_to_vehicles2_E16_K8_F2_ep60_s1,hybrid_transfer,16,8,2,49,0.824,0.822,0.802,0.7985,0.7289,2.0105,"6,2"
60,1,hyb_vehicles1_to_vehicles2_E16_K8_F4_ep60_s1,hybrid_transfer,16,8,4,56,0.82,0.816,0.756,0.7454,0.9257,1.9449,"6,2,15,4"
60,1,hyb_vehicles1_to_vehicles2_E16_K8_F6_ep60_s1,hybrid_transfer,16,8,6,56,0.824,0.818,0.798,0.7906,0.7278,1.8784,"6,2,15,4,7,11"
60,1,fix_vehicles1_to_vehicles2_E16_K8_F8_ep60_s1,hybrid_transfer,16,8,8,52,0.824,0.81,0.818,0.8157,0.6459,2.2708,"6,2,15,4,7,11,14,13"
60,1,dyn_vehicles1_to_vehicles2_E32_K4_ep60_s1,target_dynamic,32,4,0,27,0.816,0.806,0.82,0.8202,0.7743,2.2816,
60,1,hyb_vehicles1_to_vehicles2_E32_K4_F1_ep60_s1,hybrid_transfer,32,4,1,38,0.808,0.82,0.808,0.8111,0.8118,2.3437,23
60,1,hyb_vehicles1_to_vehicles2_E32_K4_F2_ep60_s1,hybrid_transfer,32,4,2,49,0.82,0.832,0.798,0.7979,0.7754,2.4382,"23,14"
60,1,hyb_vehicles1_to_vehicles2_E32_K4_F3_ep60_s1,hybrid_transfer,32,4,3,27,0.816,0.81,0.752,0.7561,1.1082,1.9573,"23,14,4"
60,1,fix_vehicles1_to_vehicles2_E32_K4_F4_ep60_s1,hybrid_transfer,32,4,4,36,0.832,0.798,0.792,0.7949,0.8092,3.3219,"23,14,4,6"
60,1,dyn_vehicles1_to_vehicles2_E32_K6_ep60_s1,target_dynamic,32,6,0,37,0.828,0.836,0.822,0.8206,0.7226,2.5441,
60,1,hyb_vehicles1_to_vehicles2_E32_K6_F1_ep60_s1,hybrid_transfer,32,6,1,44,0.828,0.792,0.8,0.8019,0.7487,2.5907,23
60,1,hyb_vehicles1_to_vehicles2_E32_K6_F2_ep60_s1,hybrid_transfer,32,6,2,44,0.828,0.786,0.778,0.7777,1.0813,2.5408,"23,14"
60,1,hyb_vehicles1_to_vehicles2_E32_K6_F4_ep60_s1,hybrid_transfer,32,6,4,38,0.832,0.84,0.774,0.7727,1.0163,2.481,"23,14,27,5"
60,1,fix_vehicles1_to_vehicles2_E32_K6_F6_ep60_s1,hybrid_transfer,32,6,6,50,0.832,0.834,0.806,0.8074,0.7175,3.2191,"23,14,27,5,7,3"
60,1,dyn_vehicles1_to_vehicles2_E32_K8_ep60_s1,target_dynamic,32,8,0,49,0.812,0.84,0.806,0.805,0.7652,2.634,
60,1,hyb_vehicles1_to_vehicles2_E32_K8_F1_ep60_s1,hybrid_transfer,32,8,1,44,0.824,0.8,0.808,0.8106,0.8409,2.642,23
60,1,hyb_vehicles1_to_vehicles2_E32_K8_F2_ep60_s1,hybrid_transfer,32,8,2,59,0.824,0.832,0.778,0.7823,0.9293,2.567,"23,14"
60,1,hyb_vehicles1_to_vehicles2_E32_K8_F4_ep60_s1,hybrid_transfer,32,8,4,48,0.812,0.828,0.814,0.816,0.7424,2.5194,"23,14,5,3"
60,1,hyb_vehicles1_to_vehicles2_E32_K8_F6_ep60_s1,hybrid_transfer,32,8,6,50,0.828,0.806,0.762,0.7648,1.0515,2.5255,"23,14,5,3,10,7"
60,1,fix_vehicles1_to_vehicles2_E32_K8_F8_ep60_s1,hybrid_transfer,32,8,8,48,0.816,0.838,0.814,0.8158,0.8472,3.123,"23,14,5,3,10,7,18,31"
80,1,dyn_vehicles1_to_vehicles2_E8_K4_ep80_s1,target_dynamic,8,4,0,80,0.832,0.838,0.838,0.8396,0.653,1.113,
80,1,hyb_vehicles1_to_vehicles2_E8_K4_F1_ep80_s1,hybrid_transfer,8,4,1,66,0.844,0.84,0.808,0.8091,0.8029,1.008,5
80,1,hyb_vehicles1_to_vehicles2_E8_K4_F2_ep80_s1,hybrid_transfer,8,4,2,66,0.848,0.85,0.82,0.8206,0.6975,1.1642,"5,4"
80,1,hyb_vehicles1_to_vehicles2_E8_K4_F3_ep80_s1,hybrid_transfer,8,4,3,78,0.836,0.846,0.856,0.8572,0.5951,1.2345,"5,4,2"
80,1,fix_vehicles1_to_vehicles2_E8_K4_F4_ep80_s1,hybrid_transfer,8,4,4,77,0.852,0.812,0.802,0.8035,0.8679,1.5392,"5,4,2,6"
80,1,dyn_vehicles1_to_vehicles2_E16_K4_ep80_s1,target_dynamic,16,4,0,49,0.816,0.814,0.828,0.8292,0.7363,1.8532,
80,1,hyb_vehicles1_to_vehicles2_E16_K4_F1_ep80_s1,hybrid_transfer,16,4,1,77,0.828,0.846,0.758,0.7562,1.0508,1.8028,6
80,1,hyb_vehicles1_to_vehicles2_E16_K4_F2_ep80_s1,hybrid_transfer,16,4,2,56,0.84,0.81,0.808,0.8042,0.8455,1.7151,"6,14"
